EUR,GBP,AUD,NZD,USD,CAD,CHF,NOK,SEK,JPY
2001-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
